profil	temps_virtuel	jalon	cycle	age	GR	dynasties	legitimite	ruines
afk_assume	8j 19h 51m	Arbre de Ruines complet	16	Campement	10	290	1.96M	0.0
afk_assume	8j 23h 16m	Age : Empire naissant	48	Empire naissant	10	321	2.14M	711.0M
afk_assume	8j 23h 17m	Age : Empire provincial	48	Empire provincial	10	321	2.14M	711.0M
afk_assume	9j 2h 48m	Age : Mégalopole	113	Mégalopole	10	353	20.1M	35.7T
afk_assume	9j 2h 49m	Age : Mégalopole stratifiée	113	Mégalopole stratifiée	10	353	20.1M	35.7T
afk_assume	9j 2h 50m	Age : Réseau continental	113	Réseau continental	10	353	20.1M	35.7T
afk_assume	9j 2h 57m	Age : Empire	115	Empire	10	354	69.7M	564.0M
afk_assume	9j 3h 18m	Age : Machination	122	Machination	10	357	72.5M	134.5T
afk_assume	9j 3h 20m	Age : Singularité	122	Singularité	10	357	72.5M	134.5T
afk_assume	9j 3h 29m	Age : Singularité · II	125	Singularité · II	10	358	180.6M	143.1T
afk_assume	9j 3h 35m	Age : Capitale impériale	127	Capitale impériale	10	359	301.0M	932.6M
afk_assume	9j 3h 45m	Age : Singularité · III	130	Singularité · III	10	360	302.5M	314.7T
afk_assume	9j 4h 10m	Age : Capitale monumentale	138	Capitale monumentale	10	363	863.0M	2.03B
afk_assume	9j 4h 12m	Age : Singularité · IV	139	Singularité · IV	10	363	863.0M	940.0T
afk_assume	9j 4h 13m	Age : Singularité · V	139	Singularité · V	10	363	863.0M	940.0T
afk_assume	9j 4h 51m	Age : Singularité · VI	151	Singularité · VI	10	367	2.08B	1.56Qa
afk_assume	9j 5h 30m	Age : Singularité · VII	163	Singularité · VII	10	371	3.68B	2.18Qa
afk_assume	9j 6h 32m	Age : Agglomération impériale	183	Agglomération impériale	10	378	7.30B	2.71B
afk_assume	9j 6h 45m	Age : Singularité · VIII	187	Singularité · VIII	10	379	7.78B	2.22Qa
afk_assume	9j 9h 15m	Age : Singularité · IX	235	Singularité · IX	10	395	18.8B	3.71Qa
afk_assume	9j 9h 34m	Age : Conscience planétaire · V	242	Conscience planétaire · V	10	397	20.7B	86.1Qi
afk_assume	9j 9h 35m	Age : Conscience planétaire · VII	242	Conscience planétaire · VII	10	397	20.7B	86.1Qi
afk_assume	9j 9h 36m	Age : Conscience planétaire · VIII	242	Conscience planétaire · VIII	10	397	20.7B	86.1Qi
afk_assume	9j 9h 37m	Age : Conscience planétaire · IX	242	Conscience planétaire · IX	10	397	20.7B	86.1Qi
afk_assume	9j 9h 52m	Age : Métropole	247	Métropole	10	399	63.1B	5.29B
afk_assume	9j 9h 56m	Age : Conscience planétaire · VI	249	Conscience planétaire · VI	10	399	63.1B	192.4Qi
afk_assume	9j 9h 59m	Age : Conscience planétaire · X	249	Conscience planétaire · X	10	399	63.1B	192.4Qi
afk_assume	9j 10h 8m	Age : Singularité · X	252	Singularité · X	10	400	125.6B	11.8Qa
afk_assume	9j 10h 17m	Age : Singularité · XI	255	Singularité · XI	10	401	127.1B	11.3Qa
afk_assume	9j 10h 30m	Age : Conscience planétaire · XI	259	Conscience planétaire · XI	10	402	129.0B	558.9Qi
afk_assume	9j 10h 30m	Age : Noosphère	259	Noosphère	10	402	129.0B	558.9Qi
afk_assume	9j 10h 40m	Age : Conscience planétaire	262	Conscience planétaire	10	403	240.8B	14.8Qa
afk_assume	9j 11h 17m	Age : Noosphère · II	274	Noosphère · II	10	406	515.9B	983.7Qi
afk_assume	9j 11h 39m	Age : Conscience planétaire · II	281	Conscience planétaire · II	10	408	886.1B	19.4Qa
afk_assume	9j 11h 55m	Age : Noosphère · III	286	Noosphère · III	10	409	1.11T	1.75Sx
afk_assume	9j 12h 28m	Age : Conscience planétaire · III	297	Conscience planétaire · III	10	412	1.90T	30.2Qa
afk_assume	9j 13h 9m	Age : Noosphère · IV	310	Noosphère · IV	10	415	2.90T	3.63Sx
afk_assume	9j 14h 8m	Age : Conscience planétaire · IV	329	Conscience planétaire · IV	10	420	4.96T	52.4Qa
afk_assume	9j 15h 26m	Age : Noosphère · V	354	Noosphère · V	10	426	8.10T	7.91Sx
afk_assume	9j 17h 55m	Age : Noosphère · X	403	Noosphère · X	10	438	16.4T	103.5Sp
afk_assume	9j 17h 56m	Age : Noosphère · XI	403	Noosphère · XI	10	438	16.4T	103.5Sp
afk_assume	9j 17h 57m	Age : Essaim orbital	403	Essaim orbital	10	438	16.4T	103.5Sp
afk_assume	9j 17h 58m	Age : Essaim orbital · II	403	Essaim orbital · II	10	438	16.4T	103.5Sp
afk_assume	9j 18h 11m	Age : Noosphère · VI	407	Noosphère · VI	10	439	39.1T	43.3Sx
afk_assume	9j 18h 11m	Age : Noosphère · VII	407	Noosphère · VII	10	439	39.1T	43.3Sx
afk_assume	9j 19h 9m	Age : Essaim orbital · III	425	Essaim orbital · III	10	443	74.5T	327.4Sp
afk_assume	9j 19h 25m	Age : Essaim orbital · IV	430	Essaim orbital · IV	10	444	116.3T	514.4Sp
afk_assume	9j 19h 38m	Age : Noosphère · VIII	434	Noosphère · VIII	10	445	173.1T	81.0Sx
afk_assume	9j 19h 54m	Age : Noosphère · IX	439	Noosphère · IX	10	446	246.0T	173.5Sx
afk_assume	9j 20h 42m	Age : Essaim orbital · V	454	Essaim orbital · V	10	449	408.0T	1.56Oc
afk_assume	9j 21h 46m	Age : Essaim orbital · VI	474	Essaim orbital · VI	10	453	883.0T	3.09Oc
afk_assume	9j 23h 53m	Age : Essaim orbital · VII	514	Essaim orbital · VII	10	461	2.39Qa	7.46Oc
afk_assume	10j 3h 20m	Age : Essaim orbital · VIII	579	Essaim orbital · VIII	10	474	6.44Qa	20.8Oc
optimiseur_timing	0m 0s	Age : Campement	0	Campement	0	0	0.0	0.0
optimiseur_timing	1m 20s	Age : Grand Feu	0	Grand Feu	0	0	0.0	0.0
optimiseur_timing	3m 20s	Age : Abris	0	Abris	0	0	0.0	0.0
optimiseur_timing	14m 0s	Age : Clans	0	Clans	0	0	0.0	0.0
optimiseur_timing	50m 0s	Age : Maîtrise du bois	0	Maîtrise du bois	0	0	0.0	0.0
optimiseur_timing	2h 36m	Age : Hameau	0	Hameau	0	0	0.0	0.0
optimiseur_timing	16h 43m	Dynastie 1 fondee	21	Campement	0	1	2.0	0.0
optimiseur_timing	1j 16h 17m	Age : Hameau protégé	561	Hameau protégé	0	8	93	1.10K
optimiseur_timing	1j 19h 45m	Dynastie 10 fondee	638	Campement	0	10	198	0.0
optimiseur_timing	1j 22h 9m	Age : Village	689	Village	0	11	255	1.79K
optimiseur_timing	1j 23h 11m	Grand Reset 1	0	Campement	1	12	19	0.0
optimiseur_timing	2j 7h 21m	Acte I (Fondation) complete	7	Clans	1	12	19	5.87K
optimiseur_timing	2j 7h 27m	Acte II (Domination) complete	10	Campement	1	12	19	5.89K
optimiseur_timing	2j 19h 35m	Age : Les Entrepôts	248	Les Entrepôts	1	26	204	8.48K
optimiseur_timing	3j 1h 36m	Age : Bourg agricole	370	Bourg agricole	1	31	108	70.2K
optimiseur_timing	3j 4h 8m	Age : Bourg des artisans	419	Bourg des artisans	1	33	228	123.2K
optimiseur_timing	3j 7h 38m	Age : Bourg marchand	483	Bourg marchand	1	36	464	363.4K
optimiseur_timing	3j 21h 18m	Age : Cité marchande	226	Cité marchande	2	67	889	683.8K
optimiseur_timing	3j 22h 10m	Grand Reset 3	0	Campement	3	69	27	0.0
optimiseur_timing	4j 5h 53m	Age : Cité commerciale	141	Cité commerciale	3	100	1.42K	3.20M
optimiseur_timing	4j 6h 19m	Age : Cité portuaire	150	Cité portuaire	3	101	1.65K	3.76M
optimiseur_timing	4j 14h 30m	Grand Reset 5	0	Campement	5	141	75	0.0
optimiseur_timing	4j 19h 59m	Age : Cité fortifiée	77	Cité fortifiée	5	181	8.21K	9.28M
optimiseur_timing	5j 2h 58m	Age : Cité administrative	33	Cité administrative	6	213	6.58K	2.22M
optimiseur_timing	5j 13h 2m	Age : Principauté	8	Principauté	7	229	19.7K	0.0
optimiseur_timing	5j 14h 45m	Age : Principauté marchande	9	Principauté marchande	7	230	27.0K	0.0
optimiseur_timing	6j 17h 9m	Age : Royaume	1	Royaume	9	242	16.8K	0.0
optimiseur_timing	7j 4h 35m	Grand Reset 10	0	Campement	10	245	17.8K	0.0
optimiseur_timing	8j 0h 24m	Age : Royaume diplomate	1	Royaume diplomate	10	246	107.7K	0.0
optimiseur_timing	8j 6h 10m	Age : Royaume savant	1	Royaume savant	10	246	107.7K	0.0
optimiseur_timing	8j 23h 43m	Age : Royaume conquérant	8	Royaume conquérant	10	253	1.31M	0.0
optimiseur_timing	9j 2h 24m	Arbre de Ruines complet	16	Campement	10	261	2.18M	0.0
optimiseur_timing	9j 5h 45m	Age : Empire naissant	48	Empire naissant	10	292	2.36M	580.7M
optimiseur_timing	9j 9h 12m	Age : Mégalopole	115	Mégalopole	10	325	18.0M	57.5T
optimiseur_timing	9j 9h 13m	Age : Mégalopole stratifiée	115	Mégalopole stratifiée	10	325	18.0M	57.5T
optimiseur_timing	9j 9h 13m	Age : Réseau continental	115	Réseau continental	10	325	18.0M	57.5T
optimiseur_timing	9j 9h 19m	Age : Empire provincial	117	Empire provincial	10	326	65.5M	657.1M
optimiseur_timing	9j 9h 29m	Age : Machination	120	Machination	10	327	66.3M	108.2T
optimiseur_timing	9j 9h 35m	Age : Empire	122	Empire	10	328	145.1M	967.3M
optimiseur_timing	9j 9h 45m	Age : Singularité	125	Singularité	10	329	146.2M	162.3T
optimiseur_timing	9j 10h 3m	Age : Singularité · II	131	Singularité · II	10	331	387.1M	382.7T
optimiseur_timing	9j 10h 9m	Age : Capitale impériale	133	Capitale impériale	10	332	547.6M	1.36B
optimiseur_timing	9j 10h 12m	Age : Singularité · III	134	Singularité · III	10	332	547.6M	429.3T
optimiseur_timing	9j 10h 39m	Age : Singularité · IV	143	Singularité · IV	10	335	1.17B	685.9T
optimiseur_timing	9j 11h 16m	Age : Singularité · V	155	Singularité · V	10	339	2.26B	1.01Qa
optimiseur_timing	9j 11h 40m	Age : Capitale monumentale	163	Capitale monumentale	10	342	3.26B	2.56B
optimiseur_timing	9j 12h 28m	Age : Singularité · VI	179	Singularité · VI	10	347	5.19B	1.63Qa
optimiseur_timing	9j 13h 41m	Age : Singularité · VII	203	Singularité · VII	10	355	8.99B	2.25Qa
optimiseur_timing	9j 15h 27m	Age : Agglomération impériale	238	Agglomération impériale	10	367	16.1B	4.34B
optimiseur_timing	9j 15h 31m	Age : Conscience planétaire · V	240	Conscience planétaire · V	10	367	16.1B	67.6Qi
optimiseur_timing	9j 15h 32m	Age : Conscience planétaire · VI	240	Conscience planétaire · VI	10	367	16.1B	67.6Qi
optimiseur_timing	9j 15h 32m	Age : Conscience planétaire · VII	240	Conscience planétaire · VII	10	367	16.1B	67.6Qi
optimiseur_timing	9j 15h 33m	Age : Conscience planétaire · VIII	240	Conscience planétaire · VIII	10	367	16.1B	67.6Qi
optimiseur_timing	9j 15h 41m	Age : Singularité · VIII	243	Singularité · VIII	10	368	45.2B	5.78Qa
optimiseur_timing	9j 15h 42m	Age : Singularité · IX	243	Singularité · IX	10	368	45.2B	5.78Qa
architecte_mythes	0m 0s	Age : Campement	0	Campement	0	0	0.0	0.0
architecte_mythes	1m 20s	Age : Grand Feu	0	Grand Feu	0	0	0.0	0.0
architecte_mythes	3m 20s	Age : Abris	0	Abris	0	0	0.0	0.0
architecte_mythes	14m 0s	Age : Clans	0	Clans	0	0	0.0	0.0
architecte_mythes	50m 0s	Age : Maîtrise du bois	0	Maîtrise du bois	0	0	0.0	0.0
architecte_mythes	2h 36m	Age : Hameau	0	Hameau	0	0	0.0	0.0
architecte_mythes	16h 44m	Dynastie 1 fondee	15	Campement	0	1	2.0	0.0
architecte_mythes	1j 7h 0m	Age : Hameau protégé	111	Hameau protégé	0	7	11	634
architecte_mythes	1j 11h 24m	Dynastie 10 fondee	159	Campement	0	10	19	0.0
architecte_mythes	1j 12h 22m	Age : Village	167	Village	0	10	19	1.69K
architecte_mythes	1j 14h 33m	Age : Les Entrepôts	191	Les Entrepôts	0	12	60	4.27K
architecte_mythes	1j 16h 39m	Age : Bourg agricole	214	Bourg agricole	0	14	112	8.87K
architecte_mythes	1j 16h 45m	Age : Bourg des artisans	215	Bourg des artisans	0	14	112	10.9K
architecte_mythes	1j 19h 20m	Age : Bourg marchand	241	Bourg marchand	0	18	251	24.8K
architecte_mythes	1j 20h 14m	Grand Reset 1	0	Campement	1	20	43	0.0
architecte_mythes	2j 3h 16m	Acte I (Fondation) complete	6	Clans	1	20	43	9.41K
architecte_mythes	2j 3h 20m	Acte II (Domination) complete	9	Campement	1	20	43	9.44K
architecte_mythes	2j 14h 54m	Age : Cité marchande	147	Cité marchande	1	44	358	183.3K
architecte_mythes	2j 16h 0m	Age : Cité commerciale	159	Cité commerciale	1	46	567	732.1K
architecte_mythes	2j 23h 38m	Age : Cité portuaire	79	Cité portuaire	2	75	956	1.02M
architecte_mythes	2j 23h 57m	Grand Reset 3	0	Campement	3	77	114	0.0
architecte_mythes	3j 13h 4m	Age : Cité fortifiée	59	Cité fortifiée	4	143	3.77K	2.60M
architecte_mythes	3j 13h 39m	Grand Reset 5	0	Campement	5	146	676	0.0
architecte_mythes	3j 20h 5m	Age : Cité administrative	28	Cité administrative	5	172	3.46K	562.9K
architecte_mythes	4j 2h 48m	Age : Principauté	55	Principauté	6	219	12.2K	74.6M
architecte_mythes	4j 3h 13m	Age : Principauté marchande	63	Principauté marchande	6	222	16.9K	133.4M
architecte_mythes	5j 9h 58m	Age : Royaume	0	Royaume	9	275	18.4K	0.0
architecte_mythes	5j 22h 41m	Age : Royaume diplomate	1	Royaume diplomate	9	276	65.5K	0.0
architecte_mythes	6j 5h 40m	Grand Reset 10	0	Campement	10	277	1.23K	0.0
architecte_mythes	7j 7h 45m	Age : Royaume savant	6	Royaume savant	10	283	621.0K	0.0
architecte_mythes	7j 10h 47m	Age : Royaume conquérant	8	Royaume conquérant	10	285	984.6K	0.0
architecte_mythes	7j 13h 27m	Arbre de Ruines complet	17	Campement	10	294	1.81M	0.0
architecte_mythes	7j 16h 40m	Age : Empire naissant	48	Empire naissant	10	324	1.98M	556.0M
architecte_mythes	7j 20h 8m	Age : Mégalopole	115	Mégalopole	10	357	17.4M	56.9T
architecte_mythes	7j 20h 8m	Age : Mégalopole stratifiée	115	Mégalopole stratifiée	10	357	17.4M	56.9T
architecte_mythes	7j 20h 9m	Age : Réseau continental	115	Réseau continental	10	357	17.4M	56.9T
architecte_mythes	7j 20h 15m	Age : Empire provincial	117	Empire provincial	10	358	64.3M	663.8M
architecte_mythes	7j 20h 24m	Age : Machination	120	Machination	10	359	65.2M	108.4T
architecte_mythes	7j 20h 31m	Age : Empire	122	Empire	10	360	143.8M	979.9M
architecte_mythes	7j 20h 40m	Age : Singularité	125	Singularité	10	361	144.9M	163.5T
architecte_mythes	7j 20h 58m	Age : Singularité · II	131	Singularité · II	10	363	386.3M	386.9T
architecte_mythes	7j 21h 4m	Age : Capitale impériale	133	Capitale impériale	10	364	547.5M	1.38B
architecte_mythes	7j 21h 7m	Age : Singularité · III	134	Singularité · III	10	364	547.5M	434.5T
architecte_mythes	7j 21h 35m	Age : Singularité · IV	143	Singularité · IV	10	367	1.17B	695.3T
architecte_mythes	7j 22h 11m	Age : Singularité · V	155	Singularité · V	10	371	2.27B	1.02Qa
architecte_mythes	7j 22h 35m	Age : Capitale monumentale	163	Capitale monumentale	10	374	3.28B	2.61B
architecte_mythes	7j 23h 24m	Age : Singularité · VI	179	Singularité · VI	10	379	5.22B	1.66Qa
architecte_mythes	8j 0h 36m	Age : Singularité · VII	203	Singularité · VII	10	387	9.05B	2.28Qa
architecte_mythes	8j 2h 13m	Age : Agglomération impériale	235	Agglomération impériale	10	398	15.6B	4.39B
architecte_mythes	8j 2h 26m	Age : Conscience planétaire · V	240	Conscience planétaire · V	10	399	16.2B	68.5Qi
architecte_mythes	8j 2h 27m	Age : Conscience planétaire · VI	240	Conscience planétaire · VI	10	399	16.2B	68.5Qi
architecte_mythes	8j 2h 28m	Age : Conscience planétaire · VII	240	Conscience planétaire · VII	10	399	16.2B	68.5Qi
architecte_mythes	8j 2h 28m	Age : Conscience planétaire · VIII	240	Conscience planétaire · VIII	10	399	16.2B	68.5Qi
architecte_mythes	8j 2h 37m	Age : Singularité · VIII	243	Singularité · VIII	10	400	45.5B	5.88Qa
architecte_mythes	8j 2h 38m	Age : Singularité · IX	243	Singularité · IX	10	400	45.5B	5.88Qa
architecte_mythes	8j 2h 58m	Age : Conscience planétaire · IX	250	Conscience planétaire · IX	10	402	47.6B	158.2Qi
architecte_mythes	8j 3h 8m	Age : Singularité · X	253	Singularité · X	10	403	98.1B	6.90Qa
architecte_mythes	8j 3h 11m	Age : Conscience planétaire · X	254	Conscience planétaire · X	10	403	98.1B	274.0Qi
architecte_mythes	8j 3h 17m	Age : Métropole	256	Métropole	10	404	167.7B	7.76B
architecte_mythes	8j 3h 23m	Age : Conscience planétaire · XI	258	Conscience planétaire · XI	10	404	167.7B	411.8Qi
architecte_mythes	8j 3h 32m	Age : Singularité · XI	261	Singularité · XI	10	405	256.2B	12.1Qa
architecte_mythes	8j 3h 47m	Age : Noosphère	266	Noosphère	10	406	363.2B	749.3Qi
architecte_mythes	8j 3h 56m	Age : Conscience planétaire	269	Conscience planétaire	10	407	488.9B	17.7Qa
architecte_mythes	8j 4h 23m	Age : Noosphère · II	278	Noosphère · II	10	409	793.5B	1.35Sx
architecte_mythes	8j 4h 44m	Age : Conscience planétaire · II	285	Conscience planétaire · II	10	411	1.17T	29.2Qa
architecte_mythes	8j 5h 36m	Age : Noosphère · III	302	Noosphère · III	10	415	2.11T	2.84Sx
casse_cou	0m 0s	Age : Campement	0	Campement	0	0	0.0	0.0
casse_cou	1m 20s	Age : Grand Feu	0	Grand Feu	0	0	0.0	0.0
casse_cou	3m 20s	Age : Abris	0	Abris	0	0	0.0	0.0
casse_cou	14m 0s	Age : Clans	0	Clans	0	0	0.0	0.0
casse_cou	50m 0s	Age : Maîtrise du bois	0	Maîtrise du bois	0	0	0.0	0.0
casse_cou	2h 36m	Age : Hameau	0	Hameau	0	0	0.0	0.0
casse_cou	5h 48m	Dynastie 1 fondee	2	Campement	0	1	1.0	0.0
casse_cou	2j 4h 47m	Age : Hameau protégé	787	Hameau protégé	0	9	90	2.46K
casse_cou	2j 4h 48m	Dynastie 10 fondee	788	Campement	0	10	160	0.0
casse_cou	2j 8h 18m	Grand Reset 1	0	Campement	1	12	7.5	0.0
casse_cou	2j 16h 21m	Acte I (Fondation) complete	7	Abris	1	12	7.1	3.53K
casse_cou	2j 16h 27m	Acte II (Domination) complete	10	Campement	1	12	7.1	3.55K
casse_cou	3j 5h 35m	Age : Village	273	Village	1	24	144	6.31K
casse_cou	3j 8h 51m	Age : Les Entrepôts	351	Les Entrepôts	1	28	293	20.1K
casse_cou	3j 15h 33m	Age : Bourg agricole	515	Bourg agricole	1	32	212	88.7K
casse_cou	3j 20h 54m	Age : Bourg des artisans	641	Bourg des artisans	1	36	549	267.3K
casse_cou	4j 8h 57m	Age : Bourg marchand	267	Bourg marchand	2	63	524	747.3K
casse_cou	4j 10h 48m	Age : Cité marchande	309	Cité marchande	2	66	900	1.53M
casse_cou	4j 11h 44m	Grand Reset 3	0	Campement	3	68	42	0.0
casse_cou	4j 19h 56m	Age : Cité commerciale	172	Cité commerciale	3	101	1.78K	7.58M
casse_cou	5j 1h 42m	Age : Cité portuaire	97	Cité portuaire	4	138	2.90K	8.62M
casse_cou	5j 2h 29m	Grand Reset 5	0	Campement	5	142	558	0.0
casse_cou	5j 10h 4m	Age : Cité fortifiée	65	Cité fortifiée	5	181	9.01K	46.1M
casse_cou	5j 10h 6m	Age : Cité administrative	65	Cité administrative	5	181	9.01K	46.1M
casse_cou	5j 18h 18m	Age : Principauté	54	Principauté	6	221	16.1K	50.2M
casse_cou	6j 4h 11m	Age : Principauté marchande	9	Principauté marchande	7	232	24.5K	0.0
casse_cou	7j 3h 43m	Age : Royaume	4	Royaume	9	250	89.7K	0.0
casse_cou	7j 5h 53m	Grand Reset 10	0	Campement	10	252	36.9K	0.0
casse_cou	7j 17h 31m	Age : Royaume diplomate	0	Royaume diplomate	10	252	36.9K	0.0
casse_cou	8j 5h 40m	Age : Royaume savant	1	Royaume savant	10	253	152.5K	0.0
casse_cou	9j 1h 7m	Age : Royaume conquérant	8	Royaume conquérant	10	260	1.43M	0.0
casse_cou	9j 6h 48m	Age : Empire naissant	46	Empire naissant	10	297	2.45M	375.1M
casse_cou	9j 6h 49m	Arbre de Ruines complet	47	Campement	10	298	2.76M	0.0
casse_cou	9j 9h 54m	Age : Métropole	113	Métropole	10	330	14.0M	24.7T
casse_cou	9j 9h 54m	Age : Mégalopole	113	Mégalopole	10	330	14.0M	24.7T
casse_cou	9j 9h 55m	Age : Mégalopole stratifiée	113	Mégalopole stratifiée	10	330	14.0M	24.7T
casse_cou	9j 9h 56m	Age : Réseau continental	113	Réseau continental	10	330	14.0M	24.7T
casse_cou	9j 10h 1m	Age : Empire provincial	115	Empire provincial	10	331	45.1M	459.8M
casse_cou	9j 10h 22m	Age : Machination	123	Machination	10	334	97.5M	91.8T
casse_cou	9j 10h 28m	Age : Empire	125	Empire	10	335	165.5M	653.5M
casse_cou	9j 10h 39m	Age : Singularité	129	Singularité	10	336	249.8M	147.7T
casse_cou	9j 10h 55m	Age : Singularité · II	135	Singularité · II	10	338	459.0M	231.3T
casse_cou	9j 11h 16m	Age : Capitale impériale	143	Capitale impériale	10	341	866.4M	1.19B
casse_cou	9j 11h 19m	Age : Singularité · III	144	Singularité · III	10	341	866.4M	300.9T
casse_cou	9j 11h 59m	Age : Singularité · IV	159	Singularité · IV	10	346	1.75B	504.2T
casse_cou	9j 13h 3m	Age : Singularité · V	183	Singularité · V	10	354	3.63B	737.3T
casse_cou	9j 13h 32m	Age : Capitale monumentale	194	Capitale monumentale	10	358	4.76B	2.09B
casse_cou	9j 14h 47m	Age : Singularité · VI	222	Singularité · VI	10	367	7.70B	1.11Qa
casse_cou	9j 15h 20m	Age : Conscience planétaire · III	235	Conscience planétaire · III	10	371	9.18B	24.7Qi
casse_cou	9j 15h 20m	Age : Conscience planétaire · V	235	Conscience planétaire · V	10	371	9.18B	24.7Qi
casse_cou	9j 15h 21m	Age : Conscience planétaire · VI	235	Conscience planétaire · VI	10	371	9.18B	24.7Qi
casse_cou	9j 15h 27m	Age : Agglomération impériale	237	Agglomération impériale	10	372	25.0B	3.53B
casse_cou	9j 15h 30m	Age : Singularité · VII	238	Singularité · VII	10	372	25.0B	2.22Qa
casse_cou	9j 15h 40m	Age : Conscience planétaire · VII	242	Conscience planétaire · VII	10	373	25.6B	52.1Qi
casse_cou	9j 15h 40m	Age : Conscience planétaire · VIII	242	Conscience planétaire · VIII	10	373	25.6B	52.1Qi
casse_cou	9j 15h 48m	Age : Singularité · VIII	245	Singularité · VIII	10	374	51.0B	3.18Qa
casse_cou	9j 15h 59m	Age : Conscience planétaire · IX	249	Conscience planétaire · IX	10	375	51.8B	87.6Qi
casse_cou	9j 16h 7m	Age : Singularité · IX	252	Singularité · IX	10	376	86.4B	4.40Qa
casse_cou	9j 16h 20m	Age : Conscience planétaire · X	257	Conscience planétaire · X	10	377	130.0B	176.4Qi
casse_cou	9j 16h 28m	Age : Singularité · X	260	Singularité · X	10	378	182.2B	6.77Qa
casse_cou	9j 16h 42m	Age : Conscience planétaire · XI	265	Conscience planétaire · XI	10	379	242.9B	283.8Qi
casse_cou	9j 16h 50m	Age : Singularité · XI	268	Singularité · XI	10	380	312.0B	9.23Qa
prudent	0m 0s	Age : Campement	0	Campement	0	0	0.0	0.0
prudent	1m 20s	Age : Grand Feu	0	Grand Feu	0	0	0.0	0.0
prudent	3m 20s	Age : Abris	0	Abris	0	0	0.0	0.0
prudent	14m 0s	Age : Clans	0	Clans	0	0	0.0	0.0
prudent	50m 0s	Age : Maîtrise du bois	0	Maîtrise du bois	0	0	0.0	0.0
prudent	2h 36m	Age : Hameau	0	Hameau	0	0	0.0	0.0
prudent	14h 48m	Dynastie 1 fondee	12	Campement	0	1	2.0	0.0
prudent	1j 4h 31m	Age : Hameau protégé	107	Hameau protégé	0	6	7.1	711
prudent	1j 8h 30m	Age : Village	148	Village	0	8	15	1.67K
prudent	1j 9h 41m	Dynastie 10 fondee	161	Campement	0	10	29	0.0
prudent	1j 12h 38m	Age : Les Entrepôts	192	Les Entrepôts	0	12	71	2.89K
prudent	1j 13h 47m	Age : Bourg agricole	205	Bourg agricole	0	13	96	8.44K
prudent	1j 15h 28m	Age : Bourg des artisans	223	Bourg des artisans	0	15	154	15.9K
prudent	1j 17h 33m	Age : Bourg marchand	244	Bourg marchand	0	18	262	49.7K
prudent	1j 17h 41m	Grand Reset 1	0	Campement	1	19	14	0.0
